Date,Open,High,Low,Close,Adj Close,Volume
2019-07-16,5.789793,6.070456,5.217514,5.347034,5.347034,659446809
2019-07-17,5.335398,5.891648,5.245614,5.701758,5.701758,620406764
2019-07-18,5.703276,6.091439,5.459953,6.054785,6.054785,615658792
2019-07-19,6.056133,6.056605,5.709676,5.872765,5.872765,575039548
2019-07-20,5.869305,6.315548,5.857444,6.177305,6.177305,550207510
2019-07-21,6.171536,6.285017,6.064626,6.262644,6.262644,505774986
2019-07-22,6.261971,6.485505,6.244790,6.356906,6.356906,588449944
2019-07-23,6.363421,6.363421,5.966074,6.037621,6.037621,558743150
2019-07-24,6.038090,6.221629,5.775166,6.124433,6.124433,559195944
2019-07-25,6.110213,6.246028,5.998070,6.019964,6.019964,475705830
2019-07-26,6.020889,6.254172,5.915804,6.223389,6.223389,453543239
2019-07-27,6.223933,6.307578,5.818228,5.930459,5.930459,488309293
2019-07-28,5.937501,6.013068,5.632123,5.906333,5.906333,467643758
2019-07-29,5.895847,6.048845,5.870021,5.939479,5.939479,463010340
2019-07-30,5.939172,5.995099,5.817053,5.943092,5.943092,405428793
2019-07-31,5.942740,6.093395,5.823352,6.056888,6.056888,446334660
2019-08-01,6.057189,6.069645,5.863315,5.979512,5.979512,442291025
2019-08-02,5.980798,6.018822,5.847474,5.882802,5.882802,412140425
2019-08-03,5.884480,5.958622,5.859655,5.899529,5.899529,382130888
2019-08-04,5.898368,6.130697,5.842101,6.122252,6.122252,409522410
2019-08-05,6.117915,6.361932,6.114244,6.189004,6.189004,516749114
2019-08-06,6.200593,6.281481,5.814135,5.856569,5.856569,506916263
2019-08-07,5.860486,5.979875,5.856903,5.914026,5.914026,496341489
2019-08-08,5.912825,6.181549,5.886102,5.989007,5.989007,527592626
2019-08-09,5.989837,6.028643,5.757754,5.809371,5.809371,506900372
2019-08-10,5.808860,5.881365,5.561398,5.662285,5.662285,534176091
2019-08-11,5.659987,5.881760,5.659987,5.816359,5.816359,478382423
2019-08-12,5.816254,5.888374,5.725062,5.788824,5.788824,426450750
2019-08-13,5.792891,5.948899,5.754853,5.904086,5.904086,475382320
2019-08-14,5.899149,6.144104,5.550231,5.586301,5.586301,638164389
2019-08-15,5.593115,5.760589,5.366016,5.658577,5.658577,624458131
2019-08-16,5.656408,5.659344,5.456758,5.537134,5.537134,459452954
2019-08-17,5.537189,5.551104,5.397347,5.465426,5.465426,365985941
2019-08-18,5.465602,5.660098,5.431138,5.580100,5.580100,365608038
2019-08-19,5.581334,5.676064,5.453339,5.559354,5.559354,426317831
2019-08-20,5.561994,6.168367,5.490855,6.016513,6.016513,692319363
2019-08-21,6.023952,6.379186,5.889547,6.128172,6.128172,851827745
2019-08-22,6.133486,7.640725,6.003209,7.264044,7.264044,1555872314
2019-08-23,7.244567,7.543834,6.889950,7.151357,7.151357,1157799955
2019-08-24,7.155581,7.223684,6.779170,6.881123,6.881123,816032135
2019-08-25,6.872110,7.408515,6.866611,7.151076,7.151076,829563022
2019-08-26,7.139207,7.454751,7.076578,7.349490,7.349490,840730995
2019-08-27,7.348632,7.348632,7.126626,7.194519,7.194519,621991581
2019-08-28,7.201310,7.240753,6.374607,6.478720,6.478720,934624852
2019-08-29,6.479639,6.480116,5.874357,5.952011,5.952011,846389900
2019-08-30,5.952010,6.455731,5.757588,6.316104,6.316104,733067936
2019-08-31,6.309549,6.437547,6.197676,6.292562,6.292562,596645771
2019-09-01,6.291790,6.335336,6.158350,6.268647,6.268647,512252388
2019-09-02,6.269037,6.797431,6.214860,6.680528,6.680528,714610831
2019-09-03,6.683426,6.989827,6.616468,6.818072,6.818072,623258545
2019-09-04,6.822608,6.850128,6.703518,6.781858,6.781858,478438886
2019-09-05,6.778134,7.194999,6.732613,7.056777,7.056777,711840607
2019-09-06,7.051471,7.065826,6.717705,6.717705,6.717705,576063126
2019-09-07,6.701849,6.800665,6.381799,6.677872,6.677872,707777741
2019-09-08,6.675764,6.784297,6.618368,6.659811,6.659811,510581786
2019-09-09,6.674920,6.783166,6.426886,6.615399,6.615399,575646640
2019-09-10,6.607417,6.758866,6.453135,6.528329,6.528329,528197076
2019-09-11,6.531825,6.573093,6.164698,6.341709,6.341709,516192334
2019-09-12,6.343877,6.371774,6.214068,6.216463,6.216463,474472676
2019-09-13,6.213105,6.264040,6.125082,6.159151,6.159151,451985628
2019-09-14,6.163205,6.295088,6.101937,6.249564,6.249564,430056608
2019-09-15,6.253376,6.356489,6.220288,6.265083,6.265083,445611167
2019-09-16,6.265095,6.336943,6.174402,6.223636,6.223636,401888917
2019-09-17,6.223699,6.427537,6.171792,6.319695,6.319695,455827349
2019-09-18,6.310427,6.530813,6.301118,6.395100,6.395100,538218940
2019-09-19,6.397558,6.401036,5.944400,6.230074,6.230074,655804393
2019-09-20,6.228504,6.282097,6.062677,6.166758,6.166758,590628441
2019-09-21,6.172561,6.204393,6.072808,6.140549,6.140549,462204519
2019-09-22,6.137721,6.142443,5.980738,6.027725,6.027725,467907074
2019-09-23,6.021192,6.074097,5.838422,5.840341,5.840341,501788922
